token,count
fact,3
meant,1
markets,1
californians,13
such,3
instead,1
serious,2
offer,2
opposed,1
least,1
captures,1
donna,1
roller,1
produced,1
ecently,1
states,2
electricity,16
cafeteria,1
isn,1
times,4
wouldn,1
valley,1
wolak,4
plant,3
investments,1
pursue,1
you,15
california,28
racer,1
mark,5
much,1
mideast,1
bona,1
mess,1
must,1
predatory,1
snatch,1
bone,1
cheap,1
copyright,4
employee,1
many,3
house,1
grass,1
guesses,1
fallout,1
conditions,1
spite,1
toshiba,3
just,2
were,4
solar,1
whalley,1
prepared,2
knee,1
growing,2
cried,1
before,1
consumption,1
congress,1
disaster,1
shop,1
bring,1
crudites,1
he,6
short,2
angeles,1
went,1
proprietaty,1
did,1
duke,2
pm,4
interesting,1
could,2
to,78
doesn,2
dark,1
dig,1
desk,1
lowered,2
term,2
withheld,1
do,2
turn,1
companies,4
dim,2
didn,3
smart,1
mobile,1
los,1
ceiling,2
lot,1
tap,1
a,38
low,1
b,2
c,1
continuous,1
e,1
f,1
day,2
h,1
maintains,1
i,8
panel,1
j,4
billion,3
l,1
vote,1
should,2
m,1
o,2
p,2
r,1
s,19
t,16
regards,1
based,1
because,4
proposals,1
somebody,1
institute,3
gerstandt,1
sold,1
supermarkets,1
independent,1
inefficiently,1
nobody,1
scam,1
familiar,1
bulbs,2
requiring,2
closer,1
listen,1
system,2
freedom,1
web,2
getting,1
only,1
high,2
own,1
borders,1
reeves,1
chosen,1
get,1
war,1
gas,3
was,9
tomorrow,1
frevert,1
looking,1
website,1
into,6
way,1
expropriate,1
which,3
services,3
columns,1
rate,1
prosecution,1
lowry,1
merely,1
according,1
office,1
free,4
third,1
real,2
thing,1
capitalists,1
john,1
value,2
porterhouse,1
electric,3
profitably,1
discount,1
crab,1
supply,3
distributors,1
allow,3
gwyneth,1
network,1
position,2
their,9
another,1
report,1
regulate,1
regarding,1
bob,1
integrity,1
ideas,1
line,1
uncharitable,1
life,1
dimension,1
excess,1
took,2
became,1
link,1
html,2
silicon,1
newsletter,1
tried,1
produce,1
salts,1
behavior,1
complete,1
voice,1
declaimed,1
damage,1
exercise,1
reckonings,1
advises,1
five,1
find,1
transferring,1
voting,1
learning,1
schuler,1
stores,1
fellow,1
bright,1
nytimes,9
fall,1
coverage,1
jones,1
fuel,1
fear,1
mostly,1
view,1
screw,1
sell,1
call,3
cato,2
juice,1
caps,3
regulations,1
are,13
and,55
receipt,1
use,2
hoof,1
economy,1
rivers,1
exposure,2
place,2
abf,1
chinesewall,1
measures,1
against,1
reason,1
pull,1
deflect,1
laundering,1
ann,1
changed,1
vkamins,1
pass,1
technology,1
ews,3
fossil,1
its,2
est,1
make,1
ect,3
affairs,1
whose,1
any,7
may,1
talking,1
federal,1
final,1
spring,1
january,2
reflect,1
yardstick,1
kaminski,1
schmidt,1
jack,1
meanwhile,1
going,2
dirty,1
with,15
udated,1
calls,3
businesses,1
quickly,1
july,1
will,6
wrong,4
information,9
naderite,1
me,1
bladed,1
id,1
revised,2
if,6
want,2
ei,1
deregulated,1
stateimposed,1
long,2
without,1
contact,1
personal,1
brain,1
up,4
ocean,1
reported,1
in,19
en,1
am,1
us,3
an,8
mr,3
iq,1
digital,2
dramatic,1
is,25
exempted,1
it,24
plan,6
as,8
at,16
put,2
alternative,3
my,2
ex,1
senator,1
per,1
hou,2
actions,1
how,4
poverty,1
try,2
charitable,1
blame,1
arrived,1
posturing,1
washington,1
decided,1
your,6
leftists,1
clean,1
grounds,1
clear,1
prices,8
intranet,1
governor,1
hodge,2
wednesday,1
ought,1
inefficient,1
controls,4
news,1
energy,4
some,3
conservation,1
generating,4
aronowitz,1
emergency,3
curves,1
still,2
pacific,1
every,2
corp,1
summer,1
respond,1
start,1
hard,1
have,13
mitigate,1
fixture,1
ones,1
hang,1
affiliated,1
compost,1
massey,1
director,1
can,4
calling,1
ceo,1
stanford,1
sap,1
utilities,4
things,1
caused,1
matter,2
advocates,1
while,1
negawatts,1
say,2
alan,1
operating,1
rise,1
email,1
farms,1
bush,2
pannat,1
magnified,1
rich,1
there,9
bill,2
available,1
sounded,2
never,3
wolf,4
imports,1
weeks,1
stayed,1
laid,1
regulators,1
orders,1
like,4
opportunities,2
important,1
imagine,2
suppliers,1
capacity,3
regulatory,1
across,2
trading,2
floor,1
about,2
outages,2
sales,1
possibly,1
left,1
not,4
now,3
books,1
again,1
legalonline,4
protect,1
ferc,5
spikes,1
extensive,1
administration,2
sensible,1
passed,1
anything,1
greatly,1
fail,1
pretty,2
letter,1
vkaminski,1
enormous,1
agency,1
department,1
attached,2
came,1
grid,1
purchase,1
relief,2
convinced,1
force,1
apply,1
greg,1
economist,2
number,2
seen,1
bargain,1
eta,1
generators,5
stalin,1
frozen,1
compliance,2
verdict,1
hope,1
keanu,1
example,1
age,2
apartment,1
aol,1
gray,2
peak,1
demand,3
article,1
asp,1
company,3
krugman,1
ups,1
official,1
speech,1
made,1
yes,1
yet,1
evidence,4
predict,1
immune,1
puffery,1
first,3
explanation,1
bold,1
meet,1
chart,1
both,1
smacked,1
frank,1
wholesale,9
those,3
commission,3
build,3
ignored,2
give,1
beach,1
bikini,1
threatened,1
william,1
sleazy,1
intended,1
well,1
na,2
market,13
body,1
understand,1
during,3
chiding,1
re,4
regulation,2
borenstein,1
bruce,1
be,13
dumb,1
shortage,1
doing,1
spot,1
doc,1
time,1
take,4
rourke,2
know,1
regardless,1
gaming,1
no,3
received,2
indeed,2
look,4
tell,1
levels,1
plants,4
vkaminskithis,1
two,1
deal,1
too,2
populous,1
jitters,1
dot,1
advertise,1
enronxgate,3
by,14
policies,7
let,3
dow,1
york,2
opinion,1
learned,1
burton,1
even,7
click,1
maintained,1
months,1
food,1
discussed,1
community,1
throughout,1
circumstantial,1
chance,2
march,1
lance,1
midst,1
november,1
legal,2
retail,4
crisis,4
generation,3
consumers,1
skip,2
visit,3
sort,1
kept,1
cost,1
advertising,2
sitting,1
uniting,1
selling,2
whatever,1
university,1
medley,1
called,1
strategically,1
percent,3
turns,1
foreign,1
advertisement,1
oil,1
help,2
won,2
details,1
rerun,1
boarded,1
our,4
move,2
responded,1
more,4
unwind,1
out,8
got,1
heading,1
www,4
rents,1
directly,1
authoritative,1
questions,2
access,2
claims,1
sympathetic,1
employees,1
adds,1
securities,2
billions,1
bestselling,1
transport,1
interfere,1
grows,1
bell,1
these,2
operate,1
from,15
concerning,1
back,3
temporary,1
forwarded,2
davis,4
future,1
gone,1
believe,3
derricks,1
write,1
colleges,1
either,2
please,5
author,1
light,1
centered,1
kevin,1
vision,1
lights,1
enough,3
researchers,1
alyson,2
above,1
steven,2
shared,1
latest,1
efficient,1
general,3
red,1
updated,1
member,1
until,1
less,2
ran,1
but,9
itself,1
costs,3
offering,1
under,1
really,2
criminal,1
buy,2
standards,1
rates,1
ineffectual,1
competitive,1
severin,1
issue,1
several,1
reputation,1
whores,1
additional,1
within,1
remained,1
fide,1
price,10
pointed,1
fragrant,1
confidential,4
innovations,1
neighboring,2
authorizing,1
extension,6
solutions,1
said,3
pound,1
very,3
political,1
sick,2
themselves,1
lines,2
universities,1
increased,1
true,1
sent,1
overwhelming,1
inc,1
heard,1
steaks,1
loopholes,1
insist,1
grocery,1
paul,1
phantom,1
mencken,1
all,7
commissioner,1
guile,1
plain,2
respect,1
hears,1
terrible,1
ads,1
creative,1
eat,1
workable,2
required,3
legislature,2
returning,1
creating,1
chief,1
mail,2
grand,1
forward,1
explain,1
somehow,1
diverse,1
reserved,2
media,1
index,1
review,1
jeff,2
total,1
jerk,1
brings,1
requested,1
conveniently,2
megawatt,1
grant,1
grids,1
effect,1
shortages,1
boyt,1
wind,1
president,3
today,2
taxpayers,1
spike,1
second,1
krug,1
parliament,1
adinfo,1
stupid,2
including,1
joseph,1
enter,1
looming,1
week,2
we,3
of,44
cc,2
glide,1
weather,1
unpredictable,1
star,1
incentive,1
so,1
had,2
the,116
on,25
become,3
go,2
submitted,1
people,2
or,12
co,1
him,1
online,2
lots,1
scheme,1
dams,1
vegetables,1
eric,3
supplies,1
has,11
shrank,1
shareholders,1
apparently,3
newsletters,1
hesitated,1
depends,1
message,1
jeffrey,2
ignoring,1
better,1
substance,1
neal,1
greedy,1
state,11
rolling,1
cold,1
weren,2
problem,2
once,1
devised,1
smelly,1
newly,1
drastic,1
wincenty,1
legally,1
when,4
kean,2
executive,1
chairman,2
what,4
power,20
one,5
off,1
world,1
worth,1
subject,3
com,14
forbidden,1
them,2
then,1
coo,1
managing,1
procedures,7
manipulation,1
who,6
post,1
this,5
comply,1
whether,1
kit,1
that,31
rights,2
whine,1
they,10
sky,1
allowed,1
key,2
also,2
moon,1
deregulation,2
significant,1
lower,1
clever,1
most,2
edison,1
rash,1
outage,1
bath,1
strengthening,1
beef,1
howell,1
interpretation,2
estimated,1
natural,1
been,4
certify,2
word,2
good,1
stupidity,1
shine,1
experts,1
dollars,1
enron,12
counsel,1
rely,2
level,1
forced,1
might,1
everyone,2
smoke,1
paltrow,1
likely,1
would,6
lawn,1
liability,1
haedicke,2
withhold,1
http,5
laws,1
generate,1
seems,2
last,3
measure,1
for,21
public,1
research,1
proposed,1
suddenly,1
new,10
other,5
money,2
proposal,1
contracts,3
hoggish,1
consumer,1
along,1
golden,1
competition,2
action,1
periods,2
mandates,1
full,2
simultaneously,1
transmission,1
reasons,1
between,2
grabby,1
site,1
stone,1
around,1
structure,1
